AirlineID,Name,Alias,IATA,ICAO,Callsign,Country,Active
370,"Afro International Ent. Limited",\N,"","AOR","INTER-AFRO","Nigeria","N"
371,"Alitalia Express",\N,"XM","SMX","ALIEXPRESS","Italy","Y"
372,"Asia Overnight Express",\N,"OE","AOT","ASIA OVERNIGHT","Philippines","N"
373,"Air Tractor",\N,"","AOU","AIR TRACTOR","Croatia","N"
374,"Aero Vision",\N,"","AOV","AEROVISION","France","N"
375,"Aerotaxi Del Valle",\N,"","AOX","AEROVALLE","Colombia","N"
376,"Air Park Aviation Ltd.",\N,"","APA","CAN-AM","Canada","N"
377,"Airpac Airlines",\N,"","APC"," Inc.","AIRPAC","N"
378,"Aeroservicios Monterrey",\N,"","SVM","SERVIMONTE","Mexico","N"
379,"Amapola Flyg AB",\N,"","APF","AMAPOLA","Sweden","N"
380,"Air People International",\N,"","APG","AIR PEOPLE","Thailand","N"
381,"Alpha Aviation",\N,"","APH"," Inc.","AIRFLIGHT","N"
382,"ASA Pesada",\N,"","API"," Lda.","ASA PESADA","N"
383,"Air Print",\N,"","APJ"," S.A.","AIR PRINT","N"
384,"Atlantic Airlines",\N,"","BJK","BLACKJACK","United States","N"
385,"Aerotransporte Petrolero",\N,"","PET","AEROPETRO","Colombia","N"
386,"Aero Flight",\N,"GV","ARF","Aero Fox","Germany","Y"
387,"ACM Aviation",\N,"","BJT","BAY JET","United States","N"
388,"Aircompany Barcol",\N,"","BKL","BARCOL","Russia","N"
389,"All Charter Limited",\N,"","BLA","ALL CHARTER","United Kingdom","N"
390,"Appalachian Flying Service",\N,"","APL"," Inc.","APPALACHIAN","N"
391,"Airpac",\N,"","APM"," Inc.","ALASKA PACIFIC","N"
392,"Aeropro",\N,"","APO","AEROPRO","Canada","N"
393,"Aerolineas Pacifico Atlantico",\N,"","APP"," S.A. (Apair)","AEROPERLAS","N"
394,"Aspen Aviation",\N,"","APQ","ASPEN BASE","United States","N"
395,"Aeropuma",\N,"","APU"," S.A.","AEROPUMA","N"
396,"Air Plan International",\N,"","APV","AIR PLAN","Democratic Republic of the Congo","N"
397,"Arrow Air",\N,"JW","APW","BIG A","United States","Y"
398,"Apex Air Cargo",\N,"","APX","PARCEL EXPRESS","United States","N"
399,"APA Internacional",\N,"","APY","APA INTERNACIONAL","Dominican Republic","N"
400,"Aeroatlas",\N,"","AQA"," S.A.","ATCO","N"
401,"Aquila Air Ltd.",\N,"","AQL","AQUILA","Canada","N"
402,"Air Queensland",\N,"","AQN","BUSHAIR","Australia","N"
403,"Aluminum Company Of America",\N,"","AQO","ALCOA SHUTTLE","United States","N"
404,"Aviones de Renta de Quintana Roo",\N,"","AQT"," S.A. de C.V.","AVIOQUINTANA","N"
405,"AirQuarius Aviation",\N,"","AQU","QUARIUS","South Africa","N"
406,"Aerodyne Charter Company",\N,"","AQZ","QUANZA","United States","N"
407,"Arik Air",\N,"W3","ARA","ARIK AIR","Nigeria","N"
408,"Avia Air N.V.",\N,"","ARB","AVIAIR","Aruba","N"
409,"Air Routing International Corp.",\N,"","ARC"," ","United States","N"
410,"Aerocondor",\N,"2B","ARD","AEROCONDOR","Portugal","Y"
411,"Aires",\N,"4C","ARE"," Aerovias de Integracion Regional"," S.A.","Y"
412,"Aerolineas Argentinas",\N,"AR","ARG","ARGENTINA","Argentina","Y"
413,"Arrowhead Airways",\N,"","ARH","ARROWHEAD","United States","N"
414,"Aero Vics",\N,"","ARI","AEROVICS","Mexico","N"
415,"Aerojet de Costa Rica",\N,"","ARJ"," S.A.","","N"
416,"Antillana De Navegacion Aerea",\N,"","SUN","","Dominican Republic","N"
417,"Aeroservicios De San Luis",\N,"","SUO","SERVICIO SANLUIS","Mexico","N"
418,"Aerosuper",\N,"","SUP","AEROSUPER","Mexico","N"
419,"Aero Link Air Services S.L.",\N,"","ARK","LINK SERVICE","Spain","N"
420,"Airlec - Air Aquitaine Transport",\N,"","ARL","AIRLEC","France","N"
421,"Aeromarket Express",\N,"","ARM","AMEX","Spain","N"
422,"Arrow Aviation Ltd.",\N,"","ARO","ARROW","Canada","N"
423,"RPA-Aviataxi Ltd.",\N,"","ARP","","Russia","N"
424,"Air Klaipeda",\N,"","KLD","AIR KLAIPEDA","Lithuania","N"
425,"Armstrong Air",\N,"","ARQ"," Inc.","ARMSTRONG","N"
426,"Air Armenia",\N,"QN","ARR","AIR ARMENIA","Armenia","N"
427,"Aeromet Servicios",\N,"","ARS","METSERVICE","Chile","N"
428,"Aerotal Aerolineas Territoriales de Colombia Ltda",\N,"","ART","AEROTAL","Colombia","N"
429,"Aravco Ltd.",\N,"","ARV","ARAVCO","United Kingdom","N"
430,"Aria",\N,"","ARW","ARIABIRD","France","N"
431,"Air Xpress",\N,"","ARX"," Inc.","AIREX","N"
432,"Airline Alania",\N,"","OST","ALANIA","Russia","N"
433,"Air Tchad",\N,"","HTT","HOTEL TANGO","Chad","N"
434,"Aerloineas de Techuacan",\N,"","HUC","LINEAS TEHUACAN","Mexico","N"
435,"Aerotransportes Huitzilin",\N,"","HUT","AEROHUITZILIN","Mexico","N"
436,"Aero Transportes Del Humaya",\N,"","HUY","AERO HUMAYA","Mexico","N"
437,"Argosy Airways",\N,"","ARY","GOSEY","United States","N"
438,"Air Resorts",\N,"","ARZ","AIR RESORTS","United States","N"
439,"Alaska Airlines",\N,"AS","ASA"," Inc.","ALASKA","Y"
440,"Air-Spray 1967 Ltd.",\N,"","ASB","AIR SPRAY","Canada","N"
441,"Air Star Corporation",\N,"","ASC","AIR STAR","Canada","N"
442,"Air Sinai",\N,"4D","ASD","AIR SINAI","Egypt","Y"
443,"Airstars",\N,"PL","ASE","MOROZOV","Russia","N"
444,"Air Schefferville",\N,"","ASF"," Inc.","SCHEFF","N"
445,"African Star Airways (PTY) Ltd.",\N,"","ASG","AFRICAN STAR","South Africa","N"
446,"Aerosun International",\N,"","ASI"," Inc.","AEROSUN","N"
447,"Air Satellite",\N,"","ASJ","SATELLITE","Canada","N"
448,"Awesome Flight Services (PTY) Ltd.",\N,"","ASM","AWESOME","South Africa","N"
449,"Air and Sea Transport",\N,"","ASN"," ","Russia","N"
450,"Aero Slovakia",\N,"","ASO","AERO NITRA","Slovakia","N"
451,"Airsprint",\N,"","ASP","AIRSPRINT","Canada","N"
452,"Atlantic Southeast Airlines",\N,"EV","ASQ","ACEY","United States","Y"
453,"All Star Airlines",\N,"","ASR"," Inc.","ALL STAR","N"
454,"Air Class",\N,"","ASS"," S.A. de C.V.","AIR CLASS","N"
455,"Aerlineas Del Oeste",\N,"","AST","AEROESTE","Mexico","N"
456,"Aviones Are",\N,"","NRE","AVIONES ARE","Mexico","N"
457,"Air Nepal International",\N,"","NPL","AIR NEPAL","Nepal","N"
458,"Air Napier",\N,"","NPR","","New Zealand","N"
459,"Air Taxi & Cargo",\N,"","WAM","TAXI CARGO","Sudan","N"
460,"Arrow Panama",\N,"","WAP","ARROW PANAMA","Panama","N"
461,"Astravia-Bissau Air Transports Ltd.",\N,"","ASV","ASTRAVIA","Guinea-Bissau","N"
462,"Astrakhan Airlines",\N,"OB","ASZ","AIR ASTRAKHAN","Russia","Y"
463,"Air Transport Association",\N,"","ATA","","United States","N"
464,"Atlantair Ltd.",\N,"","ATB","STARLITE","Canada","N"
465,"Air Tanzania",\N,"TC","ATC","TANZANIA","Tanzania","Y"
466,"Aerotours Dominicana",\N,"","ATD","AEROTOURS","Dominican Republic","N"
467,"Atlantis Transportation Services",\N,"","ATE"," Ltd.","ATLANTIS CANADA","N"
468,"Aerotrans Airline",\N,"","ATG","BACHYT","Kazakhstan","N"
469,"Air Charter World",\N,"","XAC","","United States","N"
470,"Air Burkina",\N,"2J","VBW","BURKINA","Burkina Faso","Y"
471,"Air Travel Corp.",\N,"","ATH","AIR TRAVEL","United States","N"
472,"Aero-Tropics Air Services",\N,"HC","ATI","","Australia","N"
473,"Air Traffic GmbH",\N,"","ATJ","SNOOPY","Germany","N"
474,"AeroTACA",\N,"","ATK","AEROTACA","Colombia","N"
475,"Aerocentral",\N,"","ATL","CENTRALMEX","Mexico","N"
476,"Airlines Of Tasmania",\N,"FO","ATM","AIRTAS","Australia","Y"
477,"Air Saint Pierre",\N,"PJ","SPM","","France","Y"
478,"Air Transport International",\N,"8C","ATN","AIR TRANSPORT","United States","N"
479,"ASTRAL Colombia - Aerotransportes Especiales Ltda.",\N,"","ATP","ASTRAL","Colombia","N"
480,"Air Transport Schiphol",\N,"","ATQ","MULTI","Netherlands","N"
481,"Aeroferinco",\N,"","FEO","FERINCO","Mexico","N"
482,"Aero Taxis Y Servicios Alfe",\N,"","FES","AERO ALFE","Mexico","N"
483,"Avialesookhrana",\N,"","FFA","AVIALESOOKHRANA","Russia","N"
484,"Africair Service",\N,"","FFB","FOXTROT FOXTROT","Senegal","N"
485,"Atlas Airlines",\N,"","ATR","ATLAS-AIR","United States","N"
486,"Air Transport Service",\N,"","ATS","","Democratic Republic of the Congo","N"
487,"Aer Turas",\N,"","ATT","AERTURAS","Ireland","N"
488,"Atlant Aerobatics Ltd.",\N,"","ATU","ATLANT HUNGARY","Hungary","N"
489,"Avanti Air",\N,"","ATV","AVANTI AIR","Germany","N"
490,"Aero Trades (Western) Ltd.",\N,"","ATW","AERO TRADES","Canada","N"
491,"Austrian Airlines",\N,"OS","AUA","AUSTRIAN","Austria","Y"
492,"Air Southwest",\N,"","WOW","SWALLOW","United Kingdom","Y"
493,"Augsburg Airways",\N,"IQ","AUB","AUGSBURG-AIR","Germany","Y"
494,"Air Corporate",\N,"","CPV","AIRCORPORATE","Italy","N"
495,"Aviastar-Tu",\N,"","TUP","TUPOLEVAIR","Russia","N"
496,"AirBridge Cargo",\N,"RU","ABW","AIRBRIDGE CARGO","Russia","N"
497,"ATUR",\N,"","TUR","","Ecuador","Y"
498,"ATESA Aerotaxis Ecuatorianos",\N,"","TXU","ATESA","Ecuador","N"
499,"Austin Express",\N,"","TXX","COWBOY","United States","N"
500,"Audi Air",\N,"","AUD"," Inc.","AUDI AIR","N"
